id_aluno;nome_aluno;idade;id_curso
A001;Ana Silva;21;C001
A002;Bruno Costa;22;C001
A003;Carla Souza;20;C001
A004;Diego Santos;23;C001
A005;Eduarda Lima;21;C001
A006;Felipe Alves;24;C001
A007;Gabriela Rocha;22;C001
A008;Henrique Martins;20;C001
A009;Isabela Gomes;21;C002
A010;Joao Ribeiro;23;C002
A011;Karen Oliveira;22;C002
A012;Lucas Ferreira;24;C002
A013;Mariana Barbosa;21;C002
A014;Nicolas Almeida;20;C002
A015;Olivia Cardoso;23;C002
A016;Paulo Mendes;22;C003
A017;Quezia Castro;21;C003
A018;Rafael Teixeira;24;C003
A019;Sabrina Moreira;20;C003
A020;Tiago Correia;22;C003
A021;Ursula Nunes;23;C003
A022;Victor Freitas;21;C003
A023;Wellington Dias;24;C004
A024;Yasmin Moura;20;C004
A025;Zeca Pereira;22;C004
A026;Alice Monteiro;21;C004
A027;Bernardo Araujo;23;C004
A028;Clara Farias;22;C004
A029;Daniela Vieira;24;C004
A030;Erick Batista;20;C004
